# Gaia_G_Mag LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity a0
-53.1829625962 3.59738961676 1.15536621923 -0.0735040641789 -0.613595778345 -0.880583358331 -0.801721488349 4000.0 5.5 -1.5 0.6
-53.059093444 3.63616500769 1.17177753686 -0.0699659096464 -0.61813462939 -0.890178239629 -0.814270224178 4000.0 5.5 -1.5 0.7
-52.8115623692 3.71374422491 1.2047323014 -0.0627095096139 -0.627016454582 -0.909165139907 -0.839162589042 4000.0 5.5 -1.5 0.9
-53.6582808745 3.64045843997 1.16224864773 -0.0487644141992 -0.626755983789 -0.906131402966 -0.817518674937 4000.0 6.0 -0 0.2
-53.534502863 3.67927204499 1.178818788 -0.0450514951129 -0.63126965769 -0.915630736946 -0.829971945252 4000.0 6.0 -0 0.3
-53.4107946923 3.71809504676 1.1954331146 -0.041277773205 -0.635717169546 -0.925061690232 -0.842356079362 4000.0 6.0 -0 0.4
-53.2871558449 3.75692589538 1.21209118533 -0.0374437508744 -0.640099029184 -0.934424775937 -0.854671592005 4000.0 6.0 -0 0.5
-53.1635858125 3.79576300355 1.22879256932 -0.0335499307611 -0.644415743735 -0.943720502556 -0.866918990996 4000.0 6.0 -0 0.6
-53.0400840892 3.8346047393 1.24553683858 -0.0295968097302 -0.648667819508 -0.952949376096 -0.879098776335 4000.0 6.0 -0 0.7
-52.91665017 3.87344943717 1.26232356192 -0.0255848833 -0.652855757714 -0.962111896149 -0.891211453349 4000.0 6.0 -0 0.8
-52.7932835554 3.91229538277 1.27915231798 -0.0215146414343 -0.656980057454 -0.971208567062 -0.903257519668 4000.0 6.0 -0 0.9
-53.9261149043 3.54896507494 1.1165225674 -0.0782584260081 -0.606832644849 -0.856578686985 -0.759140094733 4000.0 6.0 -0.5 0.0
-53.8020700048 3.5878241739 1.1328405 -0.0748083595006 -0.611569909194 -0.866341180823 -0.771858542589 4000.0 6.0 -0.5 0.1
-53.6780956836 3.62669481817 1.14920365658 -0.0712967755408 -0.616240311081 -0.876034558895 -0.784507131255 4000.0 6.0 -0.5 0.2
-53.5541914384 3.66557555807 1.16561160281 -0.0677241706201 -0.620844350716 -0.885659319475 -0.797086352959 4000.0 6.0 -0.5 0.3
-53.4303567664 3.70446491578 1.18206391856 -0.0640910329513 -0.625382532025 -0.89521596539 -0.809596716243 4000.0 6.0 -0.5 0.4
